CollectionID	sample	Box	PrepDate	BodySize	ColonySize_L	ColonySize_U	ColonySize	Sample_or_Control	Genus	Species	Number_Bees	Country	Area	Preservation	Continent	Region
213	M107	7	8/11/23	5.32	1200	10000	XLarge	True_Sample	Trigona	fuscipennis	1	Peru	Madre de Dios, Tambopata	Ethanol (unique specimen)	South_America	Neotropics
216	M111	7	8/11/23	5.411	7000	25000	XLarge	True_Sample	Trigona	corvina	1	Costa Rica	Guapitas	Ethanol (unique specimen)	N_C_America	Neotropics
219	M112	7	8/11/23	5.462	7000	25000	XLarge	True_Sample	Trigona	corvina	2	Costa Rica	Pto. Jimenez	Ethanol	N_C_America	Neotropics
220	M096	7	6/11/23	6.039	700	1800	Medium	True_Sample	Trigona	nigerrima	1	Costa Rica	Arenal	Ethanol	N_C_America	Neotropics
221	M095	7	6/11/23	5.019	400	600	Small	True_Sample	Trigona	setentrionalis	1	Costa Rica	Pitilla	Ethanol (unique specimen)	N_C_America	Neotropics
223	M027	4	1/11/23	4.494	NA	2000	Medium	True_Sample	Austroplebeia	australis	5	Australia	P. Drummond, 970522-17 Rockhampton	Ethanol	Australia	Indo-Malay-Australasia
223	M025	4	1/11/23	4.494	NA	2000	Medium	True_Sample	Austroplebeia	australis	5	Australia	P. Drummond, 970522-17 Rockhampton	Ethanol	Australia	Indo-Malay-Australasia
223	M026	4	1/11/23	4.494	NA	2000	Medium	True_Sample	Austroplebeia	australis	5	Australia	P. Drummond, 970522-17 Rockhampton	Ethanol	Australia	Indo-Malay-Australasia
223	M028	4	1/11/23	4.494	NA	2000	Medium	True_Sample	Austroplebeia	australis	5	Australia	P. Drummond, 970522-17 Rockhampton	Ethanol	Australia	Indo-Malay-Australasia
223	M029	4	1/11/23	4.494	NA	2000	Medium	True_Sample	Austroplebeia	australis	5	Australia	P. Drummond, 970522-17 Rockhampton	Ethanol	Australia	Indo-Malay-Australasia
226	M007	2	30/10/23	3.919	1000	5000	Large	True_Sample	Tetragonula	mellipes	5	Australia	A. Dollin. Kalumbura, Western Australia. 960325	Ethanol	Australia	Indo-Malay-Australasia
226	M009	2	30/10/23	3.919	1000	5000	Large	True_Sample	Tetragonula	mellipes	5	Australia	A. Dollin. Kalumbura, Western Australia. 960325	Ethanol	Australia	Indo-Malay-Australasia
226	M006	2	30/10/23	3.842	1000	5000	Large	True_Sample	Tetragonula	mellipes	5	Australia	A. Dollin. Kalumbura, Western Australia. 960325	Ethanol	Australia	Indo-Malay-Australasia
226	M008	2	30/10/23	3.842	1000	5000	Large	True_Sample	Tetragonula	mellipes	5	Australia	A. Dollin. Kalumbura, Western Australia. 960325	Ethanol	Australia	Indo-Malay-Australasia
226	M010	2	30/10/23	3.842	1000	5000	Large	True_Sample	Tetragonula	mellipes	5	Australia	A. Dollin. Kalumbura, Western Australia. 960325	Ethanol	Australia	Indo-Malay-Australasia
228	M016	2	1/11/23	4.212	2500	11000	XLarge	True_Sample	Tetragonula	carbonaria	3	Australia	B. Oldroyd Coolangatta, Queensland 960510	Ethanol	Australia	Indo-Malay-Australasia
228	M017	2	1/11/23	4.212	2500	11000	XLarge	True_Sample	Tetragonula	carbonaria	3	Australia	B. Oldroyd Coolangatta, Queensland 960510	Ethanol	Australia	Indo-Malay-Australasia
228	M018	2	1/11/23	4.212	2500	11000	XLarge	True_Sample	Tetragonula	carbonaria	3	Australia	B. Oldroyd Coolangatta, Queensland 960510	Ethanol	Australia	Indo-Malay-Australasia
229	M011	2	1/11/23	4.026	3000	7000	Large	True_Sample	Tetragonula	hockingsi	5	Australia	B. Oldroyd. Coolangatta Queensland. 960510	Ethanol	Australia	Indo-Malay-Australasia
229	M012	2	1/11/23	4.026	3000	7000	Large	True_Sample	Tetragonula	hockingsi	5	Australia	B. Oldroyd. Coolangatta Queensland. 960510	Ethanol	Australia	Indo-Malay-Australasia
229	M013	2	1/11/23	4.026	3000	7000	Large	True_Sample	Tetragonula	hockingsi	5	Australia	B. Oldroyd. Coolangatta Queensland. 960510	Ethanol	Australia	Indo-Malay-Australasia
229	M014	2	1/11/23	4.026	3000	7000	Large	True_Sample	Tetragonula	hockingsi	5	Australia	B. Oldroyd. Coolangatta Queensland. 960510	Ethanol	Australia	Indo-Malay-Australasia
229	M015	2	1/11/23	4.026	3000	7000	Large	True_Sample	Tetragonula	hockingsi	5	Australia	B. Oldroyd. Coolangatta Queensland. 960510	Ethanol	Australia	Indo-Malay-Australasia
237	M050	6	3/11/23	5.265	800	1600	Medium	True_Sample	Frieseomelitta	varia	1	Brazil	Sao Paulo, R. Preto (12.2.93)	Ethanol (not keept cold!)	South_America	Neotropics
